Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Worf Son of Mogh	Excelsior	ST2E-EN06055	P	Y	6P055	Personnel	2					Klingon	[Cmd]				Klingon	2 Honor Officer Physics 2 Security	8	5	8	When you play this personnel, each opponent draws a card.
Dark Page	Excelsior	STVE-EN37002	V	N	37V002	Dilemma	2	D														Choose a personnel who has Anthropology or Exobiology to be stopped. If you cannot, randomly select a personnel to be killed.
In Development	Excelsior	STVE-EN37003	V	N	37V003	Dilemma	6	D														For each headquarters you command, this dilemma is cost -1. Randomly select a personnel who has a cost of 2 or less. All your other personnel who have a cost of 2 or less are stopped.
Pillage and Plunder	Excelsior	STVE-EN37005	V	N	37V005	Dilemma	1	P							Persistent. 							Choose a personnel who has Archaeology or Treachery to be stopped. If you cannot, randomly select a personnel to be killed.
The First Duty	Excelsior	STVE-EN37008	V	N	37V008	Dilemma	1	S							Persistent. 							Choose a personnel who has Honor or Law to be stopped. If you cannot, randomly select a personnel to be killed.
Hypospray	Excelsior	STVE-EN37009	V	N	37V009	Equipment	2															When your personnel present is about to be killed by a dilemma, you may stop that personnel and your Medical personnel present to prevent that. You may do this only once each turn.
At What Cost?	Excelsior	STVE-EN37010	V	N	37V010	Event	0															Lose 5 points to spend 7 additional counters this turn.  Destroy this event.
Product Placement	Excelsior	STVE-EN37012	V	N	37V012	Event	0															Discard an equipment, event, or interrupt from hand to spend two additional counters this turn. Destroy this event.
Alpha 5 Approach Transport Crash Survivor	Excelsior	STVE-EN37015a	V	Y	37V015	Mission	0	S	3	30	A	Any affiliation may attempt this mission.						16 different skills, and Cunning>32				When a player's personnel begin a mission attempt with five or less personnel, the player to the left of that player may draw six extra dilemmas and spend six extra on dilemmas.
Garren	Excelsior	STVE-EN37018	V	N	37V018	Personnel	2					Non-Aligned					Hologram	Astrometrics Navigation Programming Science	5	5	5	While you command three [Rom] personnel, this personnel is attributes +1, gains Engineer, and becomes [Rom].
K'wov	Excelsior	STVE-EN37019	V	N	37V019	Personnel	2					Non-Aligned					Hologram	Exobiology Navigation Security	4	4	6	While you command three [Kli] personnel, this personnel is attributes +1, gains Leadership, and becomes [Kli].
Sumek	Excelsior	STVE-EN37020	V	N	37V020	Personnel	2					Non-Aligned					Hologram		6	6	6	While you command three [Fed] personnel, this personnel gains Biology and Officer, and becomes [Fed].
Jean-Luc Picard Galen	Excelsior	ST2E-EN06056	P	Y	6P056	Personnel	3					Non-Aligned	[Cmd]		Commander: Fortune. Thief. 		Human	Anthropology Archaeology Leadership Science	6	6	6	While an artifact is in your discard pile, each of your Smuggler personnel and Thief personnel is attributes +1.
Mendak Duplicitous Admiral	Excelsior	ST2E-EN06059	P	Y	6P059	Personnel	3					Romulan	[Cmd]		Admiral. Commander: Devoras. 		Romulan	Exobiology Intelligence Leadership Officer Transporters Treachery	3	7	6	While each of your non-headquarters missions is not a [Rom] mission, you may attempt each of them using your [Rom] personnel.
Korath Duplicitous Tinkerer	Excelsior	ST2E-EN05031a	P	Y	5P031	Personnel	4					Klingon	[Cmd][Fut]		High Council Member. 		Klingon	Diplomacy Engineer Leadership Physics	4	6	7	When you are about to play a non-Hand Weapon equipment, you may play it at cost +2 to destroy an opponent's event that has no cards on it.
The Traveler Transcendent Explorer	Excelsior	ST2E-EN05036	P	Y	5P036	Personnel	2					Non-Aligned	[Stf]				Alien	Anthropology Astrometrics Engineer Honor 2 Physics Science	6	8	3	When this personnel is stopped by a dilemma, place him on the bottom of his owner's deck.
Gowron Sole Leader of the Empire	Excelsior	ST2E-EN00012	P	Y	0P012	Personnel	3					Klingon	[Cmd]		Chancellor. Commander: I.K.S. Bortas. 		Klingon	Honor Law 2 Leadership Security	6	5	8	When your Honor Klingon is about to be stopped or killed by a dilemma, you may discard a Treachery Klingon from hand to prevent that.  You may do this only once each turn.
Beverly Crusher Chief Physician	Excelsior	ST2E-EN04133	R	Y	4R133	Personnel	2					Federation	[Cmd][TNG]				Human	Biology Exobiology 2 Medical	6	6	4	When this personnel is stopped by a dilemma, you may take a [TNG] personnel from your discard pile into hand.
Deanna Troi Ship's Counselor	Excelsior	ST2E-EN04135a	U	Y	4U135	Personnel	2					Federation	[Stf][TNG]				Betazoid/Human	Anthropology Diplomacy Honor Telepathy	6	5	4	Order - If this personnel is present with an opponent's personnel, stop this personnel to examine that opponent's hand and choose a non-ship card to place on the bottom of his or her deck.
Geordi La Forge Conn Officer	Excelsior	ST2E-EN04137	U	Y	4U137	Personnel	1					Federation	[Stf][TNG]				Human	Astrometrics Navigation Officer	6	6	5	While this personnel is on a planet, he loses Astrometrics, Navigation and Officer and gains Engineer, Physics and Programming.
Guinan Listener	Excelsior	ST2E-EN04138	R	Y	4R138	Personnel	3					Federation	[TNG]				El-Aurian	Anthropology Exobiology 2 Honor	8	7	4	When you play this personnel, each player scores 5 points.
B'Etor Ambitious Renegade	Excelsior	ST2E-EN04151	R	Y	4R151	Personnel	3					Klingon	[Cmd]				Klingon	Astrometrics Leadership Programming Science 2 Treachery	2	6	6	When you play this personnel, reveal cards from the top of your deck equal to the cost of an event in your core.  Take each Treachery personnel revealed into your hand.  Replace the remaining cards in the same order.
Lursa Ambitious Renegade	Excelsior	ST2E-EN04154	R	Y	4R154	Personnel	2					Klingon	[Cmd]				Klingon	Engineer Leadership Navigation 2 Treachery	2	6	7	When you play this personnel, reveal cards from the top of your deck equal to the cost of an event in your core.  Take each Assault and Maneuver card revealed into your hand.  Replace the remaining cards in the same order.
Aaron Conor Born Leader	Excelsior	ST2E-EN04156	C	Y	4C156	Personnel	3					Non-Aligned			Genetically Enhanced. 		Human	Diplomacy 2 Honor Leadership	8	6	6	When you play this personnel, choose an opponent.  For each headquarters mission he or she commands, this personnel is cost -1.
Crosis Fanatical Lieutenant	Excelsior	ST2E-EN04157	R	Y	4R157	Personnel	2					Non-Aligned	[Cmd]				Borg	Exobiology Officer Programming Security Treachery	3	6	6	For each event you command beyond the number of events an opponent of your choice commands, this personnel is attributes +1 (limit +6).
Hannah Bates Biosphere Expert	Excelsior	ST2E-EN04160	C	Y	4C160	Personnel	2					Non-Aligned			Genetically Enhanced. 		Human	Engineer Physics Programming Science	4	7	5	
Lore The One	Excelsior	ST2E-EN04161	R	Y	4R161	Personnel	6					Non-Aligned	[Cmd]				Android	Diplomacy Engineer Leadership Programming Security 2 Treachery	1	10	10	While this personnel is facing a dilemma, he cannot be stopped.
Martin Benbeck Strict Interpreter	Excelsior	ST2E-EN04162	C	Y	4C162	Personnel	3					Non-Aligned			Genetically Enhanced. 		Human	Anthropology Honor Law Security	7	6	6	When you play this personnel, choose an opponent.  You may draw a card for each headquarters mission he or she commands.
B'Etor Romulan Conspirator	Excelsior	ST2E-EN04165	R	Y	4R165	Personnel	2					Romulan	[Cmd]				Klingon	Diplomacy Physics Programming Science 2 Treachery	2	6	6	When this personnel is about to be stopped by a dilemma, you may unstop a stopped [Rom] personnel present.  That personnel joins this mission attempt.
