Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Agonizing Encounter	Excelsior11	ST2E08001	R	N	8 R 1	Dilemma	5	D														For each headquarters you command, this dilemma is cost -1. Your opponent names a skill. For each of your missions that requires that skill, randomly select a personnel to be stopped.
An Old Debt	Excelsior11	ST2E-EN03002	S	N	3 S 2	Dilemma	3	D														Unless you have Biology, Physics, and Cunning>32 or Intelligence and 2 Medical, randomly select a Leadership personnel to be killed.
Assist Rescue Operation	Excelsior11	ST2E08002	U	N	8 U 2	Dilemma	5	D														Unless you have Anthropology, Diplomacy, and Leadership or Officer, Treachery, and Strength>26, randomly select a personnel to be stopped, and if the opponent on your left commands Earth, he or she may download a [Fed] ship and its Commander that he or she does not command. If he or she does this, that ship and personnel are then placed at a mission where your opponent could play them.
Bread and Circuses	Excelsior11	STVE-EN40001	V	N	40 V 1	Dilemma	4	D														Each of your personnel with a cost of 1 or less cannot use their skills while facing this dilemma. Unless you have Archaeology, Diplomacy, and Honor or Exobiology, Transporters, and Treachery, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Cardassian Processing	Excelsior11	ST2E08005	R	N	8 R 5	Dilemma	2	D														Unless you have Diplomacy, Honor, and Transporters or Law, Security, and Strength>30, randomly select a personnel to be stopped, and if the opponent on your left commands Cardassia Prime, that personnel is placed in your opponent's brig instead.
Chameloid Chicanery	Excelsior11	st2e-en10004	C	N	10 C 4	Dilemma	3	D														Randomly select a personnel to be stopped. If your opponent has an Infiltrator at this mission, randomly select a personnel to be killed.
Chula: Move Along Home	Excelsior11	ST2E08006	U	N	8 U 6	Dilemma	3	D														Randomly select three personnel. If the highest Strength among those personnel is even, all three of them are stopped.
Chula: Pick One to Save Two	Excelsior11	ST2E-EN01016	C	N	1 C 16	Dilemma	2	D														Randomly select three personnel. Choose to return one of those personnel to its owner's hand or to have all three of them be stopped.
Chula: The Game	Excelsior11	STVE-EN30002	V	N	30 V 2	Dilemma	0	D														Place this dilemma on this mission. When your personnel are about to face a dilemma whose title begins with "Chula" here, randomly select one of your personnel attempting this mission to be stopped. When your personnel complete this mission, this dilemma is overcome.
Chula: The Precipice	Excelsior11	STVE-EN19001	V	N	19 V 1	Dilemma	2	D														If you have an even number of personnel, randomly split them in half. Unless one half has a personnel with Leadership, a second personnel with Cunning>5, and a third personnel with Honor, randomly select one half to be stopped.
Chula: Trickery	Excelsior11	STVE-EN30003	V	N	30 V 3	Dilemma	2	D														Randomly select three personnel. Unless those personnel have 2 Officer or twelve different skills, all three are stopped.
Chula: Unfortunate Roll	Excelsior11	STVE-EN16005	V	N	16 V 5	Dilemma	1	D														Randomly select three personnel. If their total Integrity is odd, all three are stopped.
Code Forty-Seven	Excelsior11	STVE-EN22001	V	N	22 V 1	Dilemma	2	D														Choose one or more [Cmd] personnel to be stopped. Unless the total cost of personnel stopped by this dilemma is 4 or more, this dilemma returns to its owner's dilemma pile.
