Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Odo Curzon Odo	R2	ST2E-EN06040	P	Y	6P040	Personnel	4					Bajoran	[Cmd][DS9]		Host. Shape-shifter. 		Changeling	Anthropology Diplomacy 2 Law Security	6	6	6	This personnel is Cunning +1 for each Diplomacy personnel in your discard pile (limit +4).  This personnel is Strength +1 for each Security personnel in your discard pile (limit +4).
Yarka Harbringer of the Prophets	R2	ST2E-EN06041	P	Y	6P041	Personnel	2					Bajoran					Bajoran	Anthropology Archaeology Physics	4	5	4	While each of your non-headquarters missions is a [Baj] mission, each of your Bajorans present is attributes +1.
Annexation Drone	R2	ST2E-EN06042	P	N	6P042	Personnel	3					Borg	[Stf]		Drone. 		Borg	Geology Navigation Physics Transporters	5	5	5	When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, score 5 points.  When you lose command of this personnel, remove it from the game.
Requisitions Drone	R2	ST2E-EN06043	P	N	6P043	Personnel	2					Borg	[Stf]		Drone. 		Borg	Archaeology Astrometrics Physics Science	5	5	5	When you play this personnel, you may examine the top four cards of your deck and take one into hand.  Place the remaining cards on the bottom of your deck in any order.
Enabran Tain "Retired" Spymaster	R2	ST2E-EN06044	P	Y	6P044	Personnel	3					Cardassian	[Cmd]				Cardassian	Anthropology 2 Intelligence Security 2 Treachery	2	7	3	When you play this personnel, if each of your non-headquarters missions requires Intelligence, you may draw up to seven cards, then discard two cards from hand.
Goran	R2	ST2E-EN06045	P	N	6P045	Personnel	2					Cardassian	[Cmd]		Infiltrator. 		Cardassian	Biology Intelligence Medical Transporters	6	6	6	When you play this personnel, you may discard an equipment or event card from hand to make this personnel cost -2.
Gelnon Aloof Tactician	R2	ST2E-EN06046	P	Y	6P046	Personnel	3					Dominion	[Cmd]				Vorta	Archaeology Law Leadership Science Treachery	4	6	4	When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, you may download a Jem'Hadar and place it aboard your [Dom] ship.
Ixtana'Rax Honored Elder	R2	ST2E-EN06047ab	P	Y	6P047	Personnel	2					Dominion	[Cmd]				Jem'Hadar	Anthropology Astrometrics Honor Leadership Navigation Officer	6	6	8	When this personnel uses one of his skills to complete a mission, he is killed.
Lamat'Ukan Resourceful Third	R2	ST2E-EN06048	P	Y	6P048	Personnel	3					Dominion	[Stf]		Alpha. 		Jem'Hadar	Programming Security Transporters	6	5	7	When an engagement you began ends, you may unstop each of your personnel and ships involved and restore all Range those ships have used this turn.  You cannot begin any other engagements this turn.
Jean-Luc Picard Vintner	R2	ST2E-EN06049	P	Y	6P049	Personnel	2					Federation	[Stf][TNG][Fut]				Human	Archaeology Biology Diplomacy Science	6	5	3	When you play this personnel, if each of your non-headquarters missions requires Biology, you may download up to three [TNG] personnel.
Kira Nerys Starfleet Emissary	R2	ST2E-EN06050	P	Y	6P050	Personnel	2					Federation	[Cmd][DS9]				Bajoran	Leadership Officer Security	6	6	6	You may play this personnel at {Bajor} or {Cardassia Prime}.  While this personnel is facing a dilemma, you may discard an event from hand to make a non-Bajoran present attributes +2 until the end of that dilemma.
Santos Squad Leader	R2	ST2E-EN06051	P	Y	6P051	Personnel	2					Federation	[Cmd][Maq]				Human	Leadership Medical Navigation Transporters	4	5	6	While this personnel is attempting a mission, you may destroy your event to add that event's cost to this personnel's attributes until the end of that mission attempt.
Shankar Maquis Soldier	R2	ST2E-EN06052	P	Y	6P052	Personnel	4					Federation	[Cmd][Maq]				Human	Archaeology Biology Geology Officer Treachery	4	6	6	When you play this personnel, if you command at least three Region: Demilitarized Zone missions, you may make each opponent place his or her hand on the top of his or her deck in the order of his or her choice.
William T. Riker Wistful Admiral	R2	ST2E-EN06053	P	Y	6P053	Personnel	2					Federation	[Cmd][TNG][Fut]		Admiral. Commander: U.S.S. Enterprise-D. 		Human	Leadership Navigation Officer Security	5	6	5	While this personnel is attempting a space mission, he is attributes +1 and gains Diplomacy and Law.
Alexander Rozhenko K'mtar	R2	ST2E-EN06054	P	Y	6P054	Personnel	4					Klingon	[Cmd][Fut]		High Council Member. 		Human/Klingon	2 Diplomacy Honor Programming Transporters	8	5	8	When you play this personnel, if each of your non-headquarters missions requires Diplomacy, you may download up to two events, then play each of them at cost -3.
