Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
U.S.S. Valiant Red Squad Training Ship	VP	STVP-EN094	VP	Y	0VP094	Ship	7					Federation	[E]	[Cmd][Cmd][Cmd][Stf]		Defiant Class			8	10	10	This ship is attributes +1 for each of your Cadets aboard (limit +4).
Bold Plan	FTB	STVE-EN16004	V	N	16V004	Dilemma	0	D							Consume: 3. 							Your opponent may return up to two dilemmas from beneath any of your non-headquarters missions to their owner's dilemma piles.
Strategic Superiority	FTB	STVE-EN16013	V	N	16V013	Dilemma	3	S														Unless you have 3 Diplomacy or Weapons>8, randomly select a personnel to be stopped, and choose a number of personnel who have a total cost equal to or greater than the number of General personnel your opponent commands to be killed.
Azetbur Visionary Chancellor	TUC	STVE-EN15037	V	Y	15V037	Personnel	4					Klingon	[Cmd][Pa]		Chancellor. 		Klingon	Anthropology Diplomacy Exobiology Honor Law 2 Leadership	7	6	6	When this personnel uses a skill to complete a mission, you may destroy three of your Assault and/or Maneuver events to score 10 points.
Lance Cartwright Co-Conspirator	TUC	STVE-EN15033	V	Y	15V033	Personnel	1					Federation	[Cmd][TOS][Pa][E]		Admiral. 		Human	Astrometrics Intelligence Leadership Officer Security Treachery	3	6	5	To play this personnel, you must destroy an event you command.
Instigate Dissension	TUC	STVE-EN15004	V	N	15V004	Dilemma	4	D														Randomly select two personnel to be stopped. Unless you command one or less headquarters missions, your opponent places this dilemma on one of your headquarters missions. You cannot play personnel at this mission. At the end of each of your turns, you may reveal three different non-[NA] personnel from hand who could be played at this headquarters to remove this dilemma from the game.
Breaking the Ice	TUC	STVE-EN15001	V	N	15V001	Dilemma	3	S							Persistent. 							Unless you have 3 Geology or two non-Hand Weapon equipment, all your personnel are stopped.
We'll Never Know	TUC	STVE-EN15009	V	N	15V009	Dilemma	3	P							Persistent. 							Unless you have 3 Physics or two non-Hand Weapon equipment, all your personnel are stopped.
Once More Unto the Breach	TUC	STVE-EN15005a	V	N	15V005	Dilemma	3	S														Your opponent chooses a staffed Cloaking Device ship he or she commands at this mission. That ship is Weapons +1 until the end of this dilemma. Unless you have Shields>that ship's Weapons, randomly select a personnel to be killed and all of your personnel are stopped.
Debate Over Dinner	TUC	STVE-EN15011	V	N	15V011	Event	1															Plays on a mission with no dilemmas beneath it (limit one per mission). When a Consume dilemma is revealed at this mission, place one less dilemma under this mission than that Consume dilemma indicates. When a player completes this mission, he or she may score 5 points.
Gaila Arms Dealer	TUC	STVE-EN15036	V	Y	15V036	Personnel	2					Ferengi	[Cmd]				Ferengi	Acquisition Geology Physics Programming Treachery	3	5	5	At the start of each of your turns, you may take an equipment from beneath your Ferenginar and place it in your discard pile to spend 4 additional counters this turn.
D'Ral Mutinous Commander	TUC	STVE-EN15041	V	Y	15V041	Personnel	2					Romulan	[Cmd]		Dissident. 		Romulan	Anthropology Engineer Officer Treachery	3	6	6	When your [Rom] personnel present is randomly selected by a dilemma, you may replace that personnel with a [Rom] personnel from hand who has the same cost as that personnel. Place the personnel you replaced in his or her owner's discard pile.
Surprise Amity	TUC	STVE-EN15020	V	N	15V020	Interrupt	0															When your opponent's mission attempt ends, if that opponent has more points than you, stop each of that opponent's personnel. Place this interrupt on the bottom of your deck.
Breach Barrier	TUC	STVE-EN15024	V	Y	15V024	Mission	0	S	4	40	A	Any affiliation may attempt this mission.			Region: Great Barrier. 			Engineer, Navigation, 2 Science, and Cunning>40				When you are about to complete this mission, if an opponent has more points than you, choose one - score 5 points; unstop all your personnel; or restore Range of each ship you command.
U.S.S. Enterprise-D Salvaged Ship	TUC	STVE-EN15044	V	Y	15V044	Ship	6					Ferengi		[Cmd][Stf][Stf][Stf]		Galaxy Class			0	8	9	This ship is Range +2 for each [Fer] Programming personnel aboard. When your personnel complete a planet mission requiring Acquisition, if this ship is at that mission, you may score 10 points.
Kira Nerys Rescuer	TUC	STVE-EN15025	V	Y	15V025	Personnel	3					Bajoran	[Cmd][DS9]				Bajoran	Honor Leadership Navigation Security	6	6	6	When you play this personnel, you may choose one: take up to two of your [Baj] personnel from your discard pile into hand; or place the bottom two cards of your deck in your discard pile.
Strength of Spirit	TUC	STVE-EN15014	V	N	15V014	Event	1															Plays in your core. At the start of each of your turns, if you command three different species, you may place this event on the bottom of your deck to download a [SF] Human who has a cost of 3 or less.
Vaatrik Pallra Seductive Manipulator	TUC	STVE-EN15026	V	Y	15V026	Personnel	2					Bajoran					Bajoran	Acquisition Anthropology Treachery	4	6	4	When this personnel begins a mission attempt, you may remove a non-[Baj] personnel in your discard pile from the game to download a [Baj] personnel.
Operation Retrieve	TUC	STVE-EN15013	V	Y	15V013	Event	0															Plays in your core. When you are about to place an interrupt in your discard pile, if your opponent's personnel is facing a dilemma you own, you may place that interrupt on the bottom of your deck instead.
What You Leave Behind	TUC	STVE-EN15018	V	N	15V018	Event	0								Temporal. 							Discard a card from hand to take the bottom two cards of your deck and place them on the top of their owner's decks in random order. Remove this event from the game.
Aldea Aid Legendary Civilization	TUC	STVE-EN15023ab	V	Y	15V023	Mission	0	P	2	35	A	Any affiliation may attempt this mission.						Biology, Diplomacy, Exobiology, Medical, and Cunning>34				When you complete this mission, place up to 12 total cost of your personnel involved beneath their owners' decks. Your opponents must place their personnel with at least the same total cost beneath their owners' decks.
Laurence T. Stone Portmaster	TUC	STVE-EN15034	V	Y	15V034	Personnel	2					Federation	[Cmd][TOS][Pa]				Human	Diplomacy Engineer Law Leadership Officer	6	5	6	You may play this personnel at cost +3 to place up to three of your [TOS] personnel who have a cost of 1 or less on the bottom of their owner's decks.
The Conscience of the King	TUC	STVE-EN15008	V	N	15V008	Dilemma	3	D														Place this dilemma on this mission. Each planet dilemma and space dilemma revealed at this mission is cost -1.
Ferengi Locator Bomb	TUC	STVE-EN15003	V	N	15V003	Dilemma	3	P														Unless you have Navigation, Physics, and Programming or Acquisition, Treachery, and Cunning>32, randomly select a personnel to be placed on the bottom of his or her owner's deck and all your personnel are stopped.
What Lies Beneath	TUC	STVE-EN15010	V	N	15V010	Dilemma	3	S														Unless you have Archaeology, Geology, and Honor or Anthropology, Treachery, and Cunning>32, randomly select a personnel to be placed on the bottom of his or her owner's deck and all your personnel are stopped.
Harvest Drone	TUC	STVE-EN15027	V	N	15V027	Personnel	5					Borg	[Stf][Pa]		Drone. 		Borg	Engineer Exobiology Security	5	5	5	When you take command of a personnel that you do not own, you may randomly select an opponent's personnel present with this personnel, take command of him or her, and place this personnel on the bottom of your deck.
Synergy Drone	TUC	STVE-EN15028	V	N	15V028	Personnel	2					Borg	[Stf][Pa]		Drone. 		Borg		4	4	4	When this personnel gains a skill he does not already have, he is attributes +1 until the end of the turn (limit +4).
Three of Twelve Specialty Drone	TUC	STVE-EN15029	V	Y	15V029	Personnel	2					Borg	[Stf][Pa]		Drone. 		Borg	Medical Science Security	5	5	5	While this personnel is attempting a mission, each of your unique personnel present is attributes +1.
Weyoun Scheming Negotiator	TUC	STVE-EN15030	V	Y	15V030	Personnel	2					Dominion	[Cmd][TN]		Commander: Tenak'talar. 		Vorta	Anthropology Diplomacy Science Treachery	2	6	4	When you play a [Dom] Treachery personnel, you may take a Jem'Hadar personnel from your discard pile and place it on the bottom of your deck.
The Perils of Peacemaking	TUC	STVE-EN15021	V	N	15V021	Interrupt	0															When a dilemma you own is revealed, the opponent on your left takes a copy of that dilemma from his or her dilemma pile and removes it from the game. That opponent shuffles and replaces his or her dilemma pile face down. Place this interrupt on the bottom of your deck.
The Cost of Freedom	TUC	STVE-EN15015	V	N	15V015	Event	2															Plays in your core. At the start of your Execute Orders segment, discard the top three cards of your deck. For each event you discarded this way, each of your [Car] personnel is attributes +1 until the end of the turn. If you do not discard an event this way, all of your [Car] personnel are stopped.
Kes Experienced Ocampa	TUC	STVE-EN15040	V	Y	15V040	Personnel	4					Non-Aligned	[Stf][Voy]				Ocampa	Anthropology Exobiology Honor Medical Science Telepathy	7	6	4	When you play this personnel, you may discard an equipment or event from hand to make this personnel cost -2. When this personnel uses a skill to complete a [DQ] mission, each player may download a personnel with that skill.
Inexorable Torture	TUC	STVE-EN15012	V	Y	15V012	Event	0								Punishment. 							To play this event, you must command three [Car] personnel. Plays in your core. When you are about to place a Capture card or a Punishment card in your discard pile, you may discard the top two cards of your deck to place that card on the bottom of your deck instead.
Shall We Not Revenge?	TUC	STVE-EN15019	V	N	15V019	Interrupt	0															When an opponent's personnel uses his or her Anthropology, Astrometrics, Diplomacy, or Security, if he or she is facing a dilemma you own, place the top card of your dilemma pile face down beneath your dilemma stack to kill that personnel. Place this interrupt on the bottom of your deck.
Predictable Response	TUC	STVE-EN15006	V	N	15V006	Dilemma	0	P							Consume: 1. 							Unless you have Anthropology and Diplomacy or 2 Security, all your [Cmd] personnel are stopped and this dilemma returns to its owner's dilemma pile.
Curt Reprimand	TUC	STVE-EN15002	V	N	15V002	Dilemma	3	D														Randomly select three personnel. If the cost of any of those personnel is 1 or less, all three are stopped. Otherwise, randomly select one of those personnel to be stopped.
Show Trial	TUC	STVE-EN15007	V	N	15V007	Dilemma	2	D														Randomly select a personnel who has Leadership or Medical to be stopped. If you have more points than each of your opponents, randomly select an additional personnel to be stopped.
The Void Alliance	TUC	STVE-EN15016	V	N	15V016	Event	2															To play this event, you must command three [Voy] personnel. Plays in your core. When your personnel is facing a dilemma, you may give command of this event to the player on your left to have that personnel gain a skill of your choice until the end of that dilemma (move this event to his or her core).
Treasured Collectibles	TUC	STVE-EN15017	V	N	15V017	Event	0															To play this event, you must command three [Fer] personnel. Place a number of your equipment with a total cost of 3 or more on the bottom of their owner's deck to spend an additional 7 counters this turn. Destroy this event.
Warrior's Resolve	TUC	STVE-EN15022	V	N	15V022	Interrupt	0															Order - Randomly select a card in your discard pile to be removed from the game. If that card was a [Kli] personnel, add that personnel's cost to the attributes of each of your [Kli] ships until the end of turn. Place this interrupt on the bottom of your deck.
Hikaru Sulu Loyal Captain	TUC	STVE-EN15031	V	Y	15V031	Personnel	4					Federation	[Cmd][TOS][Pa][E]		Commander: U.S.S. Excelsior. 		Human	Archaeology Astrometrics Honor Leadership Navigation Officer	6	6	6	You may play this personnel aboard your U.S.S. Excelsior. When the ship this personnel is aboard is about to move to a mission where you command a ship, subtract 2 from the Range required.
Jake Sisko Engineer's Apprentice	TUC	STVE-EN15032	V	Y	15V032	Personnel	2					Federation	[DS9]				Human	Anthropology Engineer Honor Programming	6	5	5	When an event in your core is destroyed, if this personnel is equipped with a non-Hand Weapon equipment, you may download a [DS9] personnel. You may do this only once each turn.
Nog Eager Ensign	TUC	STVE-EN15035	V	Y	15V035	Personnel	2					Federation	[Stf][DS9]				Ferengi	Acquisition Engineer Officer Physics	6	6	5	When an event in your core is destroyed, if this personnel is equipped with a non-Hand Weapon equipment, you may download an event. You may do this only once each turn.
Kerla Military Advisor	TUC	STVE-EN15038	V	Y	15V038	Personnel	3					Klingon	[Cmd][Pa]		General. 		Klingon	Astrometrics Diplomacy Officer Security	5	5	7	When you win an engagement involving this personnel, you may place him on the bottom of his owner's deck to choose one of your non-headquarters missions. The player on your left places the top card of his or her dilemma pile beneath that mission.
Annorax Temporal Architect	TUC	STVE-EN15039	V	Y	15V039	Personnel	5					Non-Aligned	[Cmd][AU]		Commander: Kyana's Hope.		Krenim	Anthropology 2 Engineer Leadership Physics Science 2 Treachery	1	7	5	While this personnel is aboard your non-[Fed] ship, that ship is Weapons +2. Order - Remove your Temporal event that has a cost of 3 or more from the game to name an event. Each player shuffles each copy of that event they command into its owner's deck.
Sorus	TUC	STVE-EN15042	V	N	15V042	Personnel	2					Romulan	[Stf]				Romulan	Engineer Programming Security Treachery	3	5	6	Order - Place this personnel on the bottom of his owner's deck to examine each opponent's hand. You may discard an event or interrupt from each examined hand.
Jonathan Archer Heroic Diplomat	TUC	STVE-EN15043	V	Y	15V043	Personnel	4					Starfleet	[Cmd][Pa]		Commander: Enterprise.		Human	Anthropology Diplomacy Exobiology Honor Leadership Navigation Officer	6	6	6	While this personnel is facing a dilemma, if you command three non-Human personnel, you may discard the top card of your deck to make each of your Humans attributes +1 until the end of that dilemma.
Kyana's Hope Temporal Weapon	TUC	STVE-EN15045	V	Y	15V045	Ship	6					Non-Aligned	[AU]	[Cmd][Cmd][Stf]		Kyana Class			5	5	5	This ship is attributes +1 for each of your Temporal events. Order - Remove a number of your Temporal events with a total cost of 4 or more from the game to name a personnel. Each player shuffles each copy of that personnel they command into his or her owner's deck.
Let Them Worry	FTB	STVE-EN16008	V	N	16V008	Dilemma	3	D														Unless you have 3 Honor or Medical, Physics, and Strength>28, randomly select a personnel to be stopped, and if your opponent commands 3 Shape-shifter personnel, all your personnel are stopped.
Reprogrammed	FTB	STVE-EN16026	V	N	16V026	Interrupt	0															When an opponent plays an interrupt, if one of his or her personnel is facing a dilemma you own, discard a personnel from hand to prevent that interrupt and place it in its owner's discard pile.
Inversion Mystery	FTB	STVE-EN16029	V	Y	16V029	Mission	0	S	4	30	D	Any affiliation may attempt this mission.			Nebula. 			Astrometrics, Diplomacy, Engineer, and Cunning>28				When you complete this mission, name a dilemma. When your personnel face that dilemma, you may prevent it and overcome it.
Husnock Ship	FTB	STVE-EN16045	V	N	16V045	Ship	7					Non-Aligned	[AU]	[Cmd][Stf][Stf][Stf]		Husnock Class			4	0	10	This ship does not have to be staffed to move to an opponent's mission. When this ship is about to move to an opponent's mission, subtract 4 from the span total required. When personnel that the player on your right commands begin a mission attempt at this mission, you may draw an extra dilemma and spend one extra on dilemmas.
One to One	FTB	STVE-EN16009	V	N	16V009	Dilemma	2	D														Randomly select two personnel. If they both are [Cmd] or both are [Stf], they are stopped.
Treachery Running Deep	FTB	STVE-EN16018	V	N	16V018	Dilemma	4	D														Unless you have 3 Anthropology or Physics, Treachery, and Cunning>28, randomly select a personnel to be stopped, and discard a card from hand for each Praetor personnel and Senator personnel your opponent commands.
Ro Laren Headstrong Ensign	FTB	STVE-EN16037	V	Y	16V037	Personnel	2					Federation	[Stf][TNG]				Bajoran	Navigation Officer Programming	4	6	6	While this personnel is facing a dual dilemma, she cannot be randomly selected by dilemmas.
Neral Seasoned Politician	FTB	STVE-EN16043	V	Y	16V043	Personnel	3					Romulan			Praetor. 		Romulan	Anthropology Archaeology Diplomacy 2 Leadership Treachery	3	6	4	While this personnel is facing a dilemma that requires Leadership or Treachery, he and each Treachery personnel present cannot be randomly selected by that dilemma.
All-Consuming Evil	FTB	STVE-EN16001	V	N	16V001	Dilemma	2	P														Place this dilemma on top of its owner's dilemma pile. When this dilemma is placed beneath a mission by a Consume dilemma, your opponent names a skill. Randomly select a personnel that is attempting that mission with that skill to be killed.
Artificial Wormhole	FTB	STVE-EN16002	V	N	16V002	Dilemma	3	S														Your personnel cannot gain skills while facing this dilemma. Unless you have 2 Leadership and 2 Officer, or Engineer, Programming, and Cunning>33, or this ship's corresponding Commander your opponent may take a ship at a mission and place it at a different mission. That ship's Range for this turn is used.
Best Interests at Heart	FTB	STVE-EN16003	V	N	16V003	Dilemma	3	D														Randomly select three personnel. If the total cost of those personnel is 4 or less, lose 5 points and your opponent scores 5 points. Otherwise, randomly select one of those personnel to be stopped.
Ajur Temporal Thief	FTB	STVE-EN16040	V	Y	16V040	Personnel	3					Non-Aligned	[Cmd][Fut]		Thief. 		Vorgon	2 Anthropology Archaeology Treachery	3	6	5	When you play this personnel, you may search your dilemma pile for a dilemma that costs 3 or more and set it aside. Shuffle and replace your dilemma pile and place that dilemma on top of your dilemma pile.
Boratus Temporal Thief	FTB	STVE-EN16041	V	Y	16V041	Personnel	3					Non-Aligned	[Cmd][Fut]		Thief. 		Vorgon	Archaeology 2 Security Treachery	3	6	5	When you play this personnel, you may search your dilemma pile for a dilemma that costs 3 or less and set it aside. Shuffle and replace your dilemma pile and place that dilemma on top of your dilemma pile.
Skeptical Superiors	FTB	STVE-EN16012	V	N	16V012	Dilemma	2	S														Unless you have 3 Leadership or Astrometrics, Programming, and Cunning>28, randomly select a personnel to be stopped, and randomly select a personnel to be stopped for each Admiral personnel your opponent commands.
The Clown: On His Throne	FTB	STVE-EN16015	V	N	16V015	Dilemma	4	D							Consume: 2. 							Place this dilemma on this mission. Your opponent names an attribute (Integrity, Cunning, or Strength). Replace attributes in this mission's requirements (and alternate requirements in game text) with the named attribute. At the end of the turn, remove this dilemma from the game.
Helen Noel Enterprise Psychiatrist	FTB	STVE-EN16036	V	Y	16V036	Personnel	2					Federation	[Stf][TOS][Pa]				Human	2 Anthropology Biology Diplomacy Medical	5	6	4	You may play this personnel at cost +3 to reveal the top four dilemmas of an opponent's dilemma pile and remove each dilemma that has a cost of 1 or more and does not require a skill from the game. The remaining dilemmas return to their owner's dilemma pile.
Klingon Law	FTB	STVE-EN16007	V	N	16V007	Dilemma	2	D														Unless you have Integrity>40 or Leadership, Programming, and Cunning>28, randomly select a personnel to be stopped, and your opponent may draw a card for each Chancellor personnel and High Council Member personnel he or she commands.
The Seen and the Unseen	FTB	STVE-EN16016	V	N	16V016	Dilemma	4	D														Unless at least half your personnel are not [NA], stop all your personnel, lose 5 points, your opponent scores 5 points, and this dilemma returns to its owner's dilemma pile.
